OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
571,GO-20124386217,2012.06.18,2012,June,18,Monday,170,D14,Shooting,Palmerston-Little Italy
572,GO-20124503011,2012.06.22,2012,June,22,Friday,174,D41,Shooting,Dorset Park
573,GO-20124556249,2012.06.23,2012,June,23,Saturday,175,D32,Shooting,Avondale
574,GO-20124471737,2012.07.02,2012,July,2,Monday,184,D53,Other,Playter Estates-Danforth
575,GO-20121799882,2012.07.03,2012,July,3,Tuesday,185,D22,Other,Markland Wood
576,GO-20124578181,2012.07.05,2012,July,5,Thursday,187,D22,Shooting,Islington
577,GO-20124544154,2012.07.16,2012,July,16,Monday,198,D43,Shooting,West Hill
578,GO-20124544154,2012.07.16,2012,July,16,Monday,198,D43,Shooting,West Hill
579,GO-20124466647,2012.07.17,2012,July,17,Tuesday,199,D12,Shooting,Mount Dennis
580,GO-20124427513,2012.07.19,2012,July,19,Thursday,201,D32,Shooting,Englemount-Lawrence
581,GO-20124528375,2012.07.22,2012,July,22,Sunday,204,D42,Other,Agincourt South-Malvern West
582,GO-20124622186,2012.08.01,2012,August,1,Wednesday,214,D31,Shooting,Black Creek
583,GO-20124531897,2012.08.07,2012,August,7,Tuesday,220,D42,Other,Malvern East
584,GO-20124613436,2012.08.24,2012,August,24,Friday,237,D55,Other,Clairlea-Birchmount
585,GO-20124563307,2012.09.08,2012,September,8,Saturday,252,D55,Shooting,East End-Danforth
586,GO-20124528016,2012.09.08,2012,September,8,Saturday,252,D42,Shooting,Malvern East
587,GO-20124520488,2012.09.15,2012,September,15,Saturday,259,D13,Other,Briar Hill-Belgravia
588,GO-20124453311,2012.09.16,2012,September,16,Sunday,260,D23,Shooting,Glenfield-Jane Heights
589,GO-20124589405,2012.09.18,2012,September,18,Tuesday,262,D23,Shooting,Mount Olive-Silverstone-Jamestown
590,GO-20124589405,2012.09.18,2012,September,18,Tuesday,262,D23,Shooting,Mount Olive-Silverstone-Jamestown
591,GO-20124663461,2012.10.11,2012,October,11,Thursday,285,D31,Shooting,Black Creek
592,GO-20124615172,2012.10.17,2012,October,17,Wednesday,291,D43,Other,Woburn North
593,GO-2018104863,2012.10.18,2012,October,18,Thursday,292,D51,Other,Church-Wellesley
594,GO-20124477212,2012.10.23,2012,October,23,Tuesday,297,D51,Stabbing,Cabbagetown-South St.James Town
595,GO-20124703830,2012.10.28,2012,October,28,Sunday,302,D43,Shooting,Morningside
596,GO-20124613667,2012.10.29,2012,October,29,Monday,303,D14,Stabbing,South Parkdale
597,GO-20124697103,2012.10.29,2012,October,29,Monday,303,D32,Shooting,Yorkdale-Glen Park
598,GO-20124754900,2012.10.30,2012,October,30,Tuesday,304,D12,Shooting,Mount Dennis
599,GO-20124695122,2012.11.11,2012,November,11,Sunday,316,D14,Shooting,University
600,GO-20124664511,2012.11.12,2012,November,12,Monday,317,D23,Other,Mount Olive-Silverstone-Jamestown
601,GO-20124559977,2012.11.14,2012,November,14,Wednesday,319,D55,Other,Woodbine Corridor
602,GO-20124545660,2012.11.17,2012,November,17,Saturday,322,D54,Stabbing,Flemingdon Park
603,GO-20121799887,2012.11.29,2012,November,29,Thursday,334,D22,Shooting,Markland Wood
604,GO-20124672379,2012.12.02,2012,December,2,Sunday,337,D31,Shooting,Downsview
605,GO-20124844185,2012.12.20,2012,December,20,Thursday,355,D51,Stabbing,North St.James Town
606,GO-20134821260,2013.01.01,2013,January,1,Tuesday,1,D31,Stabbing,York University Heights
607,GO-20134842775,2013.01.18,2013,January,18,Friday,18,D51,Shooting,Regent Park
608,GO-20134724330,2013.01.19,2013,January,19,Saturday,19,D23,Other,Willowridge-Martingrove-Richview
609,GO-20134911563,2013.01.19,2013,January,19,Saturday,19,D14,Other,Dovercourt Village
610,GO-20134902220,2013.02.02,2013,February,2,Saturday,33,D33,Other,Don Valley Village
611,GO-20134822914,2013.02.06,2013,February,6,Wednesday,37,D42,Other,Steeles
612,GO-20134822914,2013.02.06,2013,February,6,Wednesday,37,D42,Other,Steeles
613,GO-20134834800,2013.02.10,2013,February,10,Sunday,41,D14,Shooting,Fort York-Liberty Village
614,GO-20134954079,2013.02.11,2013,February,11,Monday,42,D31,Shooting,Glenfield-Jane Heights
